iter	Passed	Remaining
0	2	226
1	5	257
2	8	264
3	10	240
4	11	221
5	13	205
6	14	193
7	15	183
8	17	176
9	19	178
10	21	172
11	22	168
12	24	163
13	25	155
14	26	151
15	27	145
16	29	142
17	30	139
18	32	137
19	33	135
20	35	133
21	36	130
22	37	126
23	39	123
24	39	119
25	40	115
26	42	113
27	43	112
28	44	109
29	45	105
30	46	104
31	48	102
32	51	104
33	52	101
34	53	99
35	54	96
36	55	94
37	57	93
38	58	92
39	60	90
40	61	87
41	61	84
42	62	82
43	63	80
44	64	79
45	65	77
46	66	75
47	68	73
48	69	72
49	70	70
50	71	68
51	72	67
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	80	58
58	83	57
59	84	56
60	86	55
61	87	53
62	88	52
63	89	50
64	90	48
65	92	47
66	94	46
67	98	46
68	99	44
69	100	43
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	108	34
76	112	33
77	113	31
78	114	30
79	115	28
80	117	27
81	118	25
82	119	24
83	121	23
84	123	21
85	129	21
86	130	19
87	131	17
88	133	16
89	135	15
90	135	13
91	137	11
92	138	10
93	140	8
94	141	7
95	143	5
96	144	4
97	144	2
98	145	1
99	146	0
